,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAYI,İNGİLİZCESİ,TÜRKÇESİ,TÜRÜ,EŞ / YAKIN ANLAMLISI,ZIT ANLAMLISI,ÖRNEK CÜMLE 1,ÖRNEK CÜMLE 2,ÖRNEK CÜMLE 3,ÖRNEK CÜMLE 4,ÖRNEK CÜMLE 5,ÖRNEK CÜMLE 6,ÖRNEK CÜMLE 7,ÖRNEK CÜMLE 8,ÖRNEK CÜMLE 9,ÖRNEK CÜMLE 10,ÖRNEK CÜMLE 11,ÖRNEK CÜMLE 12,ÖRNEK CÜMLE 13,ÖRNEK CÜMLE 14,ÖRNEK CÜMLE 15,ÖRNEK CÜMLE 16,ÖRNEK CÜMLE TÜRKÇESİ 1,ÖRNEK CÜMLE TÜRKÇESİ 2,ÖRNEK CÜMLE TÜRKÇESİ 3,ÖRNEK CÜMLE TÜRKÇESİ 4,ÖRNEK CÜMLE TÜRKÇESİ 5,ÖRNEK CÜMLE TÜRKÇESİ 6,ÖRNEK CÜMLE TÜRKÇESİ 7,ÖRNEK CÜMLE TÜRKÇESİ 8,ÖRNEK CÜMLE TÜRKÇESİ 9,ÖRNEK CÜMLE TÜRKÇESİ 10,ÖRNEK CÜMLE TÜRKÇESİ 11,ÖRNEK CÜMLE TÜRKÇESİ 12,ÖRNEK CÜMLE TÜRKÇESİ 13,ÖRNEK CÜMLE TÜRKÇESİ 14,ÖRNEK CÜMLE TÜRKÇESİ 15,ÖRNEK CÜMLE TÜRKÇESİ 16
29,Punctual,Dakik,adj,Prompt,Belated,He's always punctual.,It is important to be punctual for a job interview.,It is essential to be punctual for all your business meetings.,She is known for being punctual and never arrives late.,"The train service is very punctual, arriving exactly on time.",It is extremely important to be punctual for a formal job interview.,She is always punctual and has never been late for a single meeting.,The train service in this country is known for being remarkably punctual.,Being punctual shows respect for other people's time and effort.,The teacher reminded the students to be punctual for their morning class.,His punctual arrival at the office every day impressed his manager.,We need a punctual delivery system to maintain our customer base.,He struggled to be punctual because of the unreliable public transport.,The event started exactly on time thanks to the punctual organizers.,Being punctual is a key trait of a successful and disciplined person.,The manager thanked the team for their punctual completion of the task.,O her zaman dakiktir.,Bir iş görüşmesi için dakik olmak önemlidir.,Tüm iş toplantılarınız için dakik olmanız esastır.,Dakik olmasıyla tanınır ve asla geç kalmaz.,Tren servisi tam vaktinde gelerek çok dakiktir.,Resmi bir iş görüşmesi için dakik olmak son derece önemlidir.,Her zaman dakiktir ve tek bir toplantıya bile asla geç kalmamıştır.,Bu ülkedeki tren servisinin dikkate değer ölçüde dakik olduğu bilinmektedir.,"Dakik olmak, diğer insanların zamanına ve emeğine duyulan saygıyı gösterir.","Öğretmen, öğrencilere sabah dersi için dakik olmalarını hatırlattı.",Ofise her gün dakik gelişi yöneticisini etkiledi.,Müşteri kitlemizi korumak için dakik bir teslimat sistemine ihtiyacımız var.,Güvenilmez toplu taşıma nedeniyle dakik olmakta zorlandı.,"Etkinlik, dakik organizatörler sayesinde tam zamanında başladı.","Dakik olmak, başarılı ve disiplinli bir kişinin temel özelliğidir.","Müdür, görevin vaktinde tamamlanması nedeniyle ekibe teşekkür etti."
30,Adjourn,"Ertelemek, Ara vermek",v,"Defer, Suspend","Complete, Terminate",The meeting was adjourned until Tuesday.,The chairman decided to adjourn the meeting until next week.,The judge decided to adjourn the trial until next Monday.,We will adjourn the meeting for a short lunch break.,"It was getting late, so the chairman decided to adjourn.",The judge decided to adjourn the trial until the following morning.,"It was getting late, so the chairman moved to adjourn the meeting.",The hearing was adjourned to allow more time for evidence collection.,They had to adjourn the outdoor event due to a sudden rainstorm.,The committee decided to adjourn the discussion until next week.,We will adjourn for lunch and resume the conference at two o'clock.,The session was adjourned after the members failed to reach a quorum.,It is sometimes necessary to adjourn a meeting to cool down emotions.,The court adjourned for a short break during the witness testimony.,The decision to adjourn the project was based on a lack of funding.,I suggest we adjourn this meeting until we have more accurate data.,Toplantı Salı’ya kadar ertelendi.,Başkan toplantıyı haftaya kadar ertelemeye karar verdi.,"Hakim, davayı önümüzdeki Pazartesiye kadar ertelemeye karar verdi.",Kısa bir öğle yemeği arası için toplantıya ara vereceğiz.,"Vakit geç oluyordu, bu yüzden başkan toplantıyı bitirmeye karar verdi.","Hakim, duruşmayı ertesi sabaha kadar ertelemeye karar verdi.","Vakit geç oluyordu, bu yüzden başkan toplantıyı ertelemek için harekete geçti.",Kanıt toplanmasına daha fazla zaman tanımak için duruşma ertelendi.,Ani yağmur fırtınası nedeniyle açık hava etkinliğini ertelemek zorunda kaldılar.,Komite tartışmayı önümüzdeki haftaya ertelemeye karar verdi.,Öğle yemeği için ara vereceğiz ve konferansa saat ikide devam edeceğiz.,Üyeler çoğunluğu sağlayamayınca oturum ertelendi.,Duyguları yatıştırmak için bazen bir toplantıya ara vermek gerekir.,"Mahkeme, tanık ifadesi sırasında kısa bir ara verdi.",Projeyi erteleme kararı finansman eksikliğine dayanıyordu.,Daha doğru verilere sahip olana kadar bu toplantıyı ertelememizi öneririm.
31,Assign,"Ayırmak, Tahsis etmek, Görev vermek",n,"Allocate, Allot, Appoint",,UN troops were assigned the task of rebuilding the hospital.,The teacher will assign a different topic to each student.,The teacher will assign a different project to each group.,The company plans to assign a new mentor to every intern.,They will assign a specific seat to everyone attending the gala.,The manager will assign a specific task to each member of the team.,The teacher plans to assign extra reading for the summer vacation.,We need to assign a budget for the upcoming marketing campaign.,The software will automatically assign a unique ID to every new user.,The government will assign a special envoy to handle the negotiations.,It is difficult to assign a value to such a rare and ancient artifact.,They decided to assign the most experienced pilot to the difficult flight.,The director will assign roles to the actors after the final auditions.,Please assign a password to your account to ensure data security.,The system can assign tasks based on each employee's current workload.,The board decided to assign additional funds to the research department.,Birleşmiş milletler birliklerine hastaneyi yeniden inşa etme görevi verildi.,Öğretmen her öğrenciye farklı bir konu atayacaktır.,Öğretmen her gruba farklı bir proje atayacaktır.,Şirket her stajere yeni bir akıl hocası atamayı planlıyor.,Galaya katılan herkese özel bir koltuk atayacaklar.,"Yönetici, ekibin her üyesine belirli bir görev atayacaktır.",Öğretmen yaz tatili için ekstra okuma atamayı planlıyor.,Yaklaşan pazarlama kampanyası için bir bütçe ayırmamız gerekiyor.,"Yazılım, her yeni kullanıcıya otomatik olarak benzersiz bir kimlik atayacaktır.",Hükümet müzakereleri yürütmek üzere özel bir temsilci görevlendirecek.,Böylesine nadir ve eski bir esere değer biçmek zordur.,Zorlu uçuş için en deneyimli pilotu görevlendirmeye karar verdiler.,Yönetmen son seçmelerden sonra aktörlere rollerini dağıtacak.,Veri güvenliğini sağlamak için lütfen hesabınıza bir şifre atayın.,"Sistem, her çalışanın mevcut iş yüküne göre görev atayabilir.","Kurul, araştırma departmanına ek fon tahsis etmeye karar verdi."
32,Treasure,Değer vermek,n,"Cherish, Value, Prize",,This pen that my grandfather gave me is one of my most treasured possessions.,I will always treasure the memories of our summer vacation.,I will always treasure the gift you gave me for my birthday.,Most families treasure their old photographs and memories.,Collectors treasure these rare coins for their historical value.,I will always treasure the memories of the time we spent together.,Collectors treasure rare books for their historical and cultural value.,She treasures the old locket that belonged to her great-grandmother.,Many cultures treasure traditional stories that are passed down.,We must treasure our natural resources and protect them for the future.,He treasures the freedom he has found in his new career path.,The museum contains many artifacts that historians treasure deeply.,It is important to treasure the small moments of happiness in life.,They treasure the friendship they have maintained since childhood.,She treasures her independence and enjoys living on her own.,"Young children often treasure simple things, like a colorful stone.",Dedemin verdiği bu kalem en değer verdiğim eşyalarımdan biridir.,Yaz tatilimizin anılarını her zaman kalbimde saklayacağım.,Doğum günümde bana verdiğin hediyeyi her zaman el üstünde tutacağım.,Çoğu aile eski fotoğraflarına ve anılarına değer verir.,Koleksiyoncular bu nadir madeni paralara tarihi değerleri nedeniyle değer verirler.,Birlikte geçirdiğimiz zamanın anılarını her zaman kalbimde saklayacağım.,"Koleksiyoncular, tarihi ve kültürel değerleri nedeniyle nadir kitaplara değer verirler.",Büyük büyükannesine ait olan eski madalyona çok değer veriyor.,"Pek çok kültür, nesilden nesile aktarılan geleneksel hikayelere değer verir.",Doğal kaynaklarımıza değer vermeli ve onları gelecek için korumalıyız.,Yeni kariyer yolunda bulduğu özgürlüğe değer veriyor.,"Müze, tarihçilerin derin değer verdiği birçok eser içermektedir.",Hayattaki küçük mutluluk anlarına değer vermek önemlidir.,Çocukluklarından beri sürdürdükleri arkadaşlığa değer veriyorlar.,Bağımsızlığına değer veriyor ve tek başına yaşamaktan keyif alıyor.,Küçük çocuklar genellikle renkli bir taş gibi basit şeylere değer verirler.
33,Threat,Tehdit etmek,n,Menace,,The threat of jail failed to deter him from petty crime.,Climate change poses a serious threat to many coastal cities.,The rising water levels pose a serious threat to the village.,He received a threat from a competitor after winning the contract.,Pollution is a major threat to the health of the planet.,Cybercrime poses an increasing threat to global financial systems.,The dark clouds were a clear threat of a coming thunderstorm.,Many endangered species face the constant threat of habitat loss.,The company received a threat of legal action from a competitor.,Climate change is a major threat to the survival of coastal cities.,He did not take the threat seriously until it was already too late.,The government is taking measures to counter the threat of terrorism.,Pollution remains a significant threat to the health of the local river.,The lack of clean water is a serious threat to the people in the area.,She felt a sense of threat as she walked alone through the dark street.,New technology can sometimes be seen as a threat to traditional jobs.,Hapis tehdidi onu ufak tefek suçlar işlemekten alıkoymadı.,İklim değişikliği birçok kıyı şehri için ciddi bir tehdit oluşturuyor.,Yükselen su seviyeleri köy için ciddi bir tehdit oluşturuyor.,Sözleşmeyi kazandıktan sonra bir rakibinden tehdit aldı.,"Kirlilik, gezegenin sağlığı için önemli bir tehdittir.","Siber suçlar, küresel finansal sistemler için giderek artan bir tehdit oluşturuyor.",Kara bulutlar yaklaşan bir gökgürültülü fırtınanın açık bir tehdidiydi.,"Nesli tükenmekte olan pek çok tür, sürekli bir yaşam alanı kaybı tehdidiyle karşı karşıyadır.","Şirket, bir rakibinden yasal işlem tehdidi aldı.","İklim değişikliği, kıyı şehirlerinin hayatta kalması için büyük bir tehdittir.",Zaten çok geç olana kadar tehdidi ciddiye almadı.,Hükümet terörizm tehdidine karşı önlemler alıyor.,Kirlilik yerel nehrin sağlığı için önemli bir tehdit olmaya devam ediyor.,Temiz su eksikliği bölgedeki insanlar için ciddi bir tehdittir.,Karanlık sokakta tek başına yürürken bir tehdit hissetti.,Yeni teknoloji bazen geleneksel işler için bir tehdit olarak görülebilir.
34,Attitude,"Tutum, Tavır",adj,"Manner, Stance, Posture",,It's very difficult to change people's attitudes.,Having a positive attitude can help you overcome difficult times.,A positive attitude is the key to success in any career.,His arrogant attitude made it hard for him to work in a team.,We need to change our attitude toward environmental protection.,The government's attitude toward renewable energy has shifted recently.,Having a positive attitude can significantly improve your mental health.,Public attitude regarding the new law is generally quite negative.,The manager's arrogant attitude caused a lot of tension in the office.,We need to change our attitude toward environmental conservation.,Her professional attitude during the crisis was praised by the board.,The study examines the attitude of teenagers toward social media use.,It is difficult to work with someone who has a hostile attitude.,Cultural factors often shape an individual's attitude toward life.,The coach tried to instill a winning attitude in the young athletes.,Success in the workplace often depends on your mental attitude.,İnsanların tavırlarını değiştirmek çok zordur.,Olumlu bir tutuma sahip olmak zor zamanların üstesinden gelmenize yardımcı olabilir.,"Pozitif bir tutum, her kariyerde başarının anahtarıdır.",Kibirli tutumu onun bir ekip içinde çalışmasını zorlaştırdı.,Çevreyi korumaya yönelik tutumumuzu değiştirmeliyiz.,Hükümetin yenilenebilir enerjiye yönelik tutumu son zamanlarda değişti.,Olumlu bir tutuma sahip olmak ruh sağlığınızı önemli ölçüde iyileştirebilir.,Yeni yasaya ilişkin kamuoyu tutumu genel olarak oldukça olumsuzdur.,Müdürün kibirli tavrı ofiste büyük bir gerginliğe neden oldu.,Doğayı korumaya yönelik tutumumuzu değiştirmemiz gerekiyor.,Kriz sırasındaki profesyonel tavrı kurul tarafından övüldü.,"Çalışma, gençlerin sosyal medya kullanımına yönelik tutumlarını inceliyor.",Düşmanca tavrı olan biriyle çalışmak zordur.,Kültürel faktörler genellikle bireyin hayata karşı tutumunu şekillendirir.,"Antrenör, genç sporculara kazanan bir tutum aşılamaya çalıştı.",İşyerinde başarı genellikle zihinsel tutumunuza bağlıdır.
35,Apathy,"İlgisizlik, Umursamazlık",adj,"Unconcern, Indifference, Insensibility","Vehemence, Passion, Interest",There is widespread apathy among students.,Political apathy among young voters is a concern for many leaders.,Widespread apathy among voters led to a very low turnout.,He was shocked by the public's apathy toward the crisis.,Apathy can be a symptom of deep-seated depression.,Political apathy among young people is a major concern for the nation.,The widespread apathy toward the crisis led to a lack of immediate action.,He was criticized for his apathy regarding the suffering of his neighbors.,Student apathy can often be overcome by using more engaging methods.,There is a sense of apathy in the town following the factory's closure.,Economic hardship can sometimes lead to social apathy and despair.,The film depicts the apathy of the upper class toward poverty.,We must combat the apathy that allows injustice to continue.,Her apathy about her future is worrying her teachers and parents.,The report highlights the apathy of voters during the local elections.,Only through education can we overcome the current climate of apathy.,Öğrenciler arasında yaygın bir ilgisizlik var.,Genç seçmenler arasındaki siyasi ilgisizlik pek çok lider için endişe kaynağıdır.,Seçmenler arasındaki yaygın ilgisizlik çok düşük bir katılıma yol açtı.,Halkın krize karşı ilgisizliği onu şoke etti.,"İlgisizlik, yerleşik bir depresyonun belirtisi olabilir.",Gençler arasındaki siyasi ilgisizlik ulus için büyük bir endişe kaynağıdır.,"Krize yönelik yaygın ilgisizlik, acil eylem eksikliğine yol açtı.",Komşularının acı çekmesine karşı ilgisizliği nedeniyle eleştirildi.,Öğrenci ilgisizliği genellikle daha ilgi çekici yöntemler kullanılarak aşılabilir.,Fabrikanın kapanmasının ardından kasabada bir ilgisizlik duygusu hakim.,Ekonomik zorluklar bazen toplumsal ilgisizliğe ve umutsuzluğa yol açabilir.,"Film, üst sınıfın yoksulluğa karşı ilgisizliğini anlatıyor.",Adaletsizliğin devam etmesine izin veren ilgisizlikle mücadele etmeliyiz.,Geleceğine dair ilgisizliği öğretmenlerini ve ailesini endişelendiriyor.,"Rapor, yerel seçimler sırasında seçmenlerin ilgisizliğini vurguluyor.",Mevcut ilgisizlik ortamını ancak eğitim yoluyla aşabiliriz.
36,Consolidate,"Güçlendirmek, Sağlamlaştırmak",v,"Fortify, Strengthen","Weaken, Dissect",She hoped that marriage would consolidate their relationship.,The company plans to consolidate its position in the market.,The company hopes to consolidate its position in the global market.,We need to consolidate all the data into one single report.,The victory helped the king consolidate his power over the land.,The company plans to consolidate its various branches into one headquarters.,The victory helped the leader consolidate his power within the party.,We need to consolidate our resources before starting the new project.,The new law will consolidate existing regulations into a single code.,He worked hard to consolidate his position as a leading expert.,The merger will help the two firms consolidate their market share.,Use this exercise to consolidate what you have learned in class today.,The bank is trying to consolidate its debts to reduce interest rates.,Frequent testing can help students consolidate their knowledge.,The general moved his troops to consolidate the captured territory.,The small tribes decided to consolidate to defend against the invasion.,"Evliliğin, ilişkilerini kuvvetlendireceğini umuyordu.",Şirket piyasadaki konumunu pekiştirmeyi planlıyor.,Şirket küresel pazardaki konumunu güçlendirmeyi umuyor.,Tüm verileri tek bir raporda birleştirmemiz gerekiyor.,"Zafer, kralın topraklar üzerindeki gücünü sağlamlaştırmasına yardımcı oldu.","Şirket, çeşitli şubelerini tek bir merkezde birleştirmeyi planlıyor.","Zafer, liderin parti içindeki gücünü pekiştirmesine yardımcı oldu.",Yeni projeye başlamadan önce kaynaklarımızı birleştirmeliyiz.,"Yeni yasa, mevcut düzenlemeleri tek bir kodda birleştirecektir.",Önde gelen bir uzman olarak konumunu sağlamlaştırmak için çok çalıştı.,"Birleşme, iki firmanın pazar paylarını güçlendirmelerine yardımcı olacak.",Bugün sınıfta öğrendiklerinizi pekiştirmek için bu alıştırmayı kullanın.,"Banka, faiz oranlarını düşürmek için borçlarını birleştirmeye çalışıyor.",Sık sık yapılan testler öğrencilerin bilgilerini pekiştirmelerine yardımcı olabilir.,"General, ele geçirilen bölgeyi sağlamlaştırmak için birliklerini hareket ettirdi.",Küçük kabileler istilaya karşı savunma yapmak için birleşmeye karar verdiler.
37,Coerse,Zorlamak,v,"Force, Compel",,He is thought to be coerced into making a confession about the crime.,No one should be coerced into signing a document against their will.,No one should be allowed to coerce you into making a confession.,The dictator used threats to coerce the people into obedience.,They tried to coerce him into signing the unfair contract.,No one should be coerced into signing a contract against their will.,The suspect claimed he was coerced by the police into a confession.,The dictator used threats to coerce the population into obedience.,It is illegal to coerce employees into working extra hours without pay.,The government was accused of trying to coerce the independent media.,They tried to coerce him into revealing the location of the documents.,A person may be coerced by social pressure into following a trend.,We must ensure that voters are not coerced during the election.,The bully tried to coerce the younger students into giving him money.,Diplomacy is often used to coerce a nation into changing its policy.,She felt she was being coerced into a decision she didn't want to make.,Cinayet konusunda itirafa zorlanıldığı düşünülüyor.,Hiç kimse iradesi dışında bir belge imzalamaya zorlanmamalıdır.,Kimsenin sizi itirafa zorlamasına izin verilmemelidir.,Diktatör halkı itaate zorlamak için tehditler kullandı.,Onu adaletsiz sözleşmeyi imzalamaya zorlamaya çalıştılar.,Hiç kimse kendi isteği dışında bir sözleşme imzalamaya zorlanmamalıdır.,"Şüpheli, polis tarafından itirafta bulunmaya zorlandığını iddia etti.","Diktatör, halkı itaate zorlamak için tehditler kullandı.",Çalışanları ücretsiz olarak fazla mesai yapmaya zorlamak yasa dışıdır.,"Hükümet, bağımsız medyayı zorlamaya çalışmakla suçlandı.",Onu belgelerin yerini açıklamaya zorlamaya çalıştılar.,"Bir kişi, sosyal baskı yoluyla bir trendi takip etmeye zorlanabilir.",Seçim sırasında seçmenlerin zorlanmadığından emin olmalıyız.,"Zorba, küçük öğrencileri kendisine para vermeleri için zorlamaya çalıştı.","Diplomasi, genellikle bir ulusu politikasını değiştirmeye zorlamak için kullanılır.",Vermek istemediği bir karara zorlandığını hissetti.
38,Confess,İtiraf etmek,v,,,He decided to confess his mistake.,The police forced them to make false confessions.,He was coerced into making a confession about the crime.,Both suspects admitted their guilt to the police.,"At first he denied stealing the money, but he later admitted (confessed) it.",They refused to acknowledge (confess) the new government.,No one should be allowed to coerce you into making a confession.,The suspect claimed he was coerced by the police into a confession.,He was careful not to say anything that might implicate (confess) his colleagues.,She felt a sense of betrayal after discovering his long-term deception (confessed later).,She admitted that she had made a mistake.,Five people were indicted for making and using counterfeit (confessed) currency.,He finally decided to confess everything to his parents.,The prisoner refused to confess despite the long interrogation.,It is sometimes hard to discern the truth when there are conflicting confessions (testimonies).,The judge listened carefully to the witness's confession.,Hatasını itiraf etmeye karar verdi.,Polis onları sahte itiraflarda bulunmaya zorladı.,Suçla ilgili itirafta bulunmaya zorlandığı düşünülüyor.,Her iki şüpheli de suçlarını polise itiraf etti.,İlk başta parayı çaldığını inkar etti ancak sonradan itiraf etti.,Yeni hükümeti tanımayı (itiraf etmeyi) reddettiler.,Kimsenin sizi itirafta bulunmaya zorlamasına izin verilmemelidir.,"Şüpheli, polis tarafından itirafta bulunmaya zorlandığını iddia etti.",Meslektaşlarını ele verecek (itiraf edecek) bir şey söylememeye dikkat etti.,Uzun süreli aldatmacasını keşfettikten sonra (sonradan itiraf edilen) bir ihanet duygusu hissetti.,Bir hata yaptığını itiraf etti.,Beş kişi sahte para (itiraf edilen) yapmaktan ve kullanmaktan suçlandı.,Sonunda her şeyi ailesine itiraf etmeye karar verdi.,"Mahkum, uzun sorgulamaya rağmen itiraf etmeyi reddetti.",Çelişkili itiraflar (ifadeler) olduğunda gerçeği ayırt etmek bazen zordur.,"Hakim, tanığın itirafını dikkatle dinledi."
39,Defect,"Kusur, Eksiklik",v,"Fault, Error",Perfection,There are so many defects in our education system.,A small defect in the machine caused it to stop working.,A small defect in the engine caused the plane to land early.,The company recalled the products due to a manufacturing defect.,He was born with a minor heart defect that required surgery.,A small defect in the software caused the entire system to crash.,The car was recalled due to a serious defect in the braking system.,Scientists are looking for a way to repair the genetic defect.,There are many defects in the current education system that need fixing.,The inspector found several structural defects in the old building.,A minor defect in the lens can ruin the quality of the photograph.,He was born with a heart defect that required immediate surgery.,You should return the product if you find any manufacturing defect.,The report details the defects found during the quality control check.,It is difficult to hide the defects of a poorly designed project.,The pilot managed to land the plane safely despite a minor technical defect.,Eğitim sistemimizde birçok eksiklik var.,Makinedeki küçük bir kusur çalışmamasına neden oldu.,Motordaki küçük bir kusur uçağın erken inmesine neden oldu.,Şirket ürünleri üretim hatası nedeniyle geri çağırdı.,Ameliyat gerektiren küçük bir kalp kusuruyla doğdu.,Yazılımdaki küçük bir hata tüm sistemin çökmesine neden oldu.,Araç fren sistemi kusuruyla geri çağrıldı.,Bilim insanları genetik kusuru onarmanın yolunu arıyor.,Mevcut eğitim sisteminde düzeltilmesi gereken kusurlar var.,Müfettiş binada yapısal kusurlar buldu.,Mercekteki kusur fotoğraf kalitesini bozar.,Ameliyat gerektiren bir kalp kusuruyla doğdu.,Üretim hatası varsa ürünü iade etmelisiniz.,Rapor kontrol sırasında bulunan kusurları detaylandırıyor.,Kötü tasarlanmış projenin kusurlarını gizlemek zordur.,Pilot küçük bir teknik kusura rağmen güvenle indi.
40,Despise,"Aşağılamak, Küçümsemek",n,"Scorn, Humiliate, Look Down On, Dislike","Appraise, Look up to, Respect, Regard",She despised him for the way he treated her sister.,Many people despise politicians who do not keep their promises.,I despise people who lie just to get what they want.,Many citizens despise the corruption within the government.,He seemed to despise anyone who didn't share his opinions.,He was known to despise anyone who had not been to a university.,She began to despise the materialistic lifestyle of her colleagues.,It is common to despise those who are cruel to helpless animals.,He seemed to despise the simple tasks that were assigned to him.,You shouldn't despise the advice of those who have more experience.,The local population began to despise the corrupt government officials.,She felt a sense of shame because she used to despise her heritage.,He worked for a manager whom he had come to despise over time.,"We should not despise small beginnings, as they can lead to greatness.",She openly despise dishonesty in any form.,The rebels claim to despise the regime they are fighting against.,Kızkardeşine yaptığı muameleden dolayı onu aşağıladı.,Pek çok insan sözlerini tutmayan politikacıları küçümser.,Sadece istediklerini elde etmek için yalan söyleyenlerden nefret ederim.,Pek çok vatandaş hükümet içindeki yolsuzluktan nefret ediyor.,Kendi fikirlerini paylaşmayan herkesten nefret ediyor gibiydi.,Üniversiteye gitmeyen herkesi küçümserdi.,Meslektaşlarının materyalist yaşam tarzını küçümsemeye başladı.,Hayvanlara zulmedenleri küçümsemek yaygındır.,Kendisine verilen basit işleri küçümsüyor gibiydi.,Daha deneyimli olanların tavsiyelerini küçümsememelisiniz.,Halk yolsuzluk yapan yetkilileri küçümsemeye başladı.,Eskiden mirasını küçümsediği için utanç duydu.,Zamanla küçümsemeye başladığı bir müdür için çalıştı.,Küçük başlangıçları küçümsememeliyiz çünkü büyüklüğe yol açabilirler.,Her türlü dürüst olmayan davranıştan nefret eder.,İsyancılar savaştıkları rejimi küçümsediklerini iddia ediyorlar.
41,Expend,"Harcamak, Masraf yapmak",v,"Use up, Exhaust","Conserve, Preserve",Governments expend a lot of resources on war.,We shouldn't expend all our resources on a single project.,Don't expend too much energy on things you cannot change.,The government will expend billions on the new railway project.,We had to expend a lot of effort to finish the work on time.,Governments expend a vast amount of resources on national defense.,You shouldn't expend all your energy in the first half of the race.,The company will expend millions of dollars on research this year.,How much time did you expend on preparing this detailed report?,We need to be careful about how we expend our limited budget.,It is not wise to expend effort on things you cannot change.,The project required the team to expend a great deal of creativity.,The animal must expend significant energy to find food in the winter.,They had to expend extra funds to repair the storm damage.,The lecturer told the students not to expend time on trivial details.,The project will expend a large amount of public money.,Hükümetler savaşa çok kaynak harcıyor.,Tüm kaynaklarımızı tek bir projeye harcamamalıyız.,Değiştiremeyeceğin şeyler için çok enerji harcama.,Hükümet yeni proje için milyarlar harcayacak.,İşi vaktinde bitirmek için çok çaba harcadık.,Hükümetler ulusal savunmaya çok büyük kaynak harcar.,Yarışın ilk yarısında tüm enerjinizi harcamamalısınız.,Şirket bu yıl araştırmaya milyonlar harcayacak.,Bu raporu hazırlamak için ne kadar vakit harcadınız?,Sınırlı bütçemizi nasıl harcayacağımız konusunda dikkatli olmalıyız.,Değiştiremeyeceğiniz şeyler için çaba harcamak akıllıca değildir.,Proje ekibin çok yaratıcılık harcamasını gerektirdi.,Hayvan kışın yemek bulmak için çok enerji harcamalıdır.,Hasarı onarmak için ek fon harcamak zorunda kaldılar.,Öğretmen öğrencilere önemsiz detaylara vakit harcamamalarını söyledi.,Kampanya büyük miktarda kamu parası harcayacak.
42,Entitle,"Hak vermek, Yetki vermek, imkan vermek, isim vermek",n,"Warrant, Give right to","Disqualify, Disable",Being unemployed entitles you to free medical treatment.,This membership card will entitle you to a ten percent discount.,This coupon will entitle you to a free meal at the restaurant.,Being a member of the club will entitle you to use the gym.,Does your experience entitle you to a higher position in the firm?,Being a citizen will entitle you to a passport and a right to vote.,This membership card does not entitle you to use the VIP lounge.,Your long years of service entitle you to a generous pension.,The law was changed to entitle all children to a free education.,Does having a degree entitle a person to a higher social status?,This voucher will entitle the holder to a ten percent discount.,Being unemployed may entitle you to various forms of state aid.,The agreement will entitle both parties to share the technology.,He felt that his wealth should entitle him to special treatment.,Winning the competition will entitle her to a trip around the world.,Membership may entitle you to certain legal benefits.,İşsiz olman sana ücretsiz tedavi imkanı veriyor.,Bu üyelik kartı size yüzde on indirim hakkı sağlar.,Bu kupon size ücretsiz bir öğün hakkı verecek.,Üyelik spor salonu hakkı verir.,Deneyiminiz size yüksek pozisyon hakkı verir mi?,Vatandaş olmak size pasaport ve oy hakkı verir.,Bu kart size VIP salonunu kullanma hakkı vermez.,Uzun yıllar süren hizmetiniz size cömert bir emeklilik hakkı verir.,Yasa tüm çocuklara ücretsiz eğitim hakkı verecek şekilde değişti.,Derece sahibi olmak daha yüksek sosyal statü hakkı verir mi?,Bu fiş sahibine yüzde on indirim hakkı verecek.,İşsiz olmak sizi devlet yardımına hak kazandırabilir.,Anlaşma her iki tarafa teknolojiyi paylaşma hakkı verecek.,Zenginliğinin ona özel muamele hakkı vermesi gerektiğini düşündü.,Yarışmayı kazanmak ona dünya turu hakkı verecek.,Üyelik size belirli yasal haklar tanıyabilir.
43,Erronious,Hatalı,n,"Incorrect, Wrong",Perfect,"They had an erroneous belief, which misled them.",The report was based on erroneous information and had to be corrected.,The report was full of erroneous information and was rejected.,Her conclusion was based on an erroneous assumption about the data.,The pilot received erroneous instructions from the control tower.,The conclusion was based on erroneous assumptions and was rejected.,The journalist apologized for publishing erroneous information.,It is an erroneous belief that cold weather causes the common flu.,The computer error led to the erroneous calculation of the taxes.,We must correct the erroneous entries in the database immediately.,His erroneous judgment during the crisis led to a series of mistakes.,The report contains several erroneous statements regarding the project.,It is dangerous to rely on erroneous data when making a decision.,Many historical theories have been proven erroneous by new evidence.,The pilot received erroneous instructions from the air traffic controller.,The theory was based on erroneous calculations.,Onları saptıran yanlış bir inanışları vardı.,Rapor hatalı bilgilere dayanıyordu ve düzeltilmesi gerekiyordu.,Rapor hatalı bilgilerle doluydu ve reddedildi.,Sonuç hatalı varsayıma dayalıydı.,Pilot kontrol kulesinden hatalı talimatlar aldı.,Sonuç hatalı varsayımlara dayanıyordu ve reddedildi.,Gazeteci hatalı bilgi yayınladığı için özür diledi.,Soğuk havanın gribe neden olması hatalı bir inanıştır.,Bilgisayar hatası vergilerin yanlış hesaplanmasına yol açtı.,Veritabanındaki hatalı girişleri hemen düzeltmeliyiz.,Kriz sırasındaki hatalı kararı bir dizi hataya yol açtı.,Rapor projeyle ilgili birkaç hatalı ifade içeriyor.,Karar verirken hatalı verilere güvenmek tehlikelidir.,Birçok teori yeni kanıtlarla hatalı bulunmuştur.,Pilot hava trafik kontrolöründen hatalı talimatlar aldı.,Teori hatalı hesaplamalara dayanıyordu.
